Date;Municipio;ndvi_mean;;;;;
3/12/2002;CRAVO NORTE;5934,492901;;;;;
3/12/2002;FORTUL;5787,042107;;;;;
3/12/2002;PUERTO RONDON;6633,702797;;;;;
3/12/2002;SARAVENA;6664,258109;;;;;
3/12/2002;TAME;6703,825937;;;;;
19/12/2002;ARAUCA;6421,717763;;;;;
19/12/2002;ARAUQUITA;7530,322316;;;;;
19/12/2002;CRAVO NORTE;5930,753223;;;;;
19/12/2002;FORTUL;5859,660593;;;;;
19/12/2002;PUERTO RONDON;6673,87866;;;;;
19/12/2002;SARAVENA;7119,862367;;;;;
19/12/2002;TAME;6713,626182;;;;;
1/01/2003;ARAUCA;5861,368204;;;;;
1/01/2003;ARAUQUITA;7489,897155;;;;;
1/01/2003;CRAVO NORTE;5741,949759;;;;;
1/01/2003;FORTUL;6863,992254;;;;;
1/01/2003;PUERTO RONDON;6305,835681;;;;;
1/01/2003;SARAVENA;7477,67948;;;;;
1/01/2003;TAME;7121,59831;;;;;
17/01/2003;ARAUCA;5341,837006;;;;;
17/01/2003;ARAUQUITA;7041,719767;;;;;
17/01/2003;CRAVO NORTE;5663,305662;;;;;
17/01/2003;FORTUL;5074,568425;;;;;
17/01/2003;PUERTO RONDON;5838,080998;;;;;
17/01/2003;SARAVENA;5702,363997;;;;;
17/01/2003;TAME;6112,917067;;;;;
2/02/2003;ARAUCA;4461,98522;;;;;
2/02/2003;ARAUQUITA;6445,782654;;;;;
2/02/2003;CRAVO NORTE;4912,483813;;;;;
2/02/2003;FORTUL;4057,30229;;;;;
2/02/2003;PUERTO RONDON;4985,194211;;;;;
2/02/2003;SARAVENA;3904,387571;;;;;
2/02/2003;TAME;5391,421612;;;;;
18/02/2003;ARAUCA;4238,673608;;;;;
18/02/2003;ARAUQUITA;6207,824815;;;;;
18/02/2003;CRAVO NORTE;4609,507095;;;;;
18/02/2003;FORTUL;2912,630804;;;;;
18/02/2003;PUERTO RONDON;4739,981974;;;;;
18/02/2003;SARAVENA;2426,472127;;;;;
18/02/2003;TAME;4479,849086;;;;;
6/03/2003;ARAUCA;3830,036768;;;;;
6/03/2003;ARAUQUITA;5915,164875;;;;;
6/03/2003;CRAVO NORTE;4131,424256;;;;;
6/03/2003;FORTUL;4927,53336;;;;;
6/03/2003;PUERTO RONDON;4198,082161;;;;;
6/03/2003;SARAVENA;6269,336773;;;;;
6/03/2003;TAME;5405,539178;;;;;
22/03/2003;ARAUCA;4026,772988;;;;;
22/03/2003;ARAUQUITA;5587,502512;;;;;
22/03/2003;CRAVO NORTE;4436,851565;;;;;
22/03/2003;FORTUL;3374,671025;;;;;
22/03/2003;PUERTO RONDON;4851,151258;;;;;
22/03/2003;SARAVENA;4744,346809;;;;;
22/03/2003;TAME;4599,107209;;;;;
7/04/2003;ARAUCA;4350,427294;;;;;
7/04/2003;ARAUQUITA;6457,610675;;;;;
7/04/2003;CRAVO NORTE;4572,231078;;;;;
7/04/2003;FORTUL;3347,721111;;;;;
7/04/2003;PUERTO RONDON;4895,584767;;;;;
7/04/2003;SARAVENA;5748,221544;;;;;
7/04/2003;TAME;4119,27354;;;;;
23/04/2003;ARAUCA;5980,509903;;;;;
23/04/2003;ARAUQUITA;6952,761396;;;;;
23/04/2003;CRAVO NORTE;5639,734605;;;;;
23/04/2003;FORTUL;4049,486007;;;;;
