formatted_date;temperature_2m; total_precipitation_sum
17/03/1951;294,2469596;0,006965759
18/03/1951;295,362964;0,002238915
19/03/1951;295,1045932;0,004467221
20/03/1951;294,4579043;0,015845584
21/03/1951;294,0019723;0,00808749
22/03/1951;293,5817514;0,011614477
23/03/1951;293,206071;0,006811479
24/03/1951;293,5387621;0,007721999
25/03/1951;293,7693841;0,007805675
26/03/1951;293,6728853;0,008920238
27/03/1951;293,3202635;0,008071156
28/03/1951;293,8468887;0,004856791
29/03/1951;293,7807178;0,009217469
30/03/1951;293,7317597;0,006366529
31/03/1951;293,9168688;0,005355777
1/04/1951;293,8707535;0,00534525
2/04/1951;294,1758272;0,004146729
3/04/1951;294,1982161;0,007183097
4/04/1951;293,8475304;0,017163873
5/04/1951;293,2157619;0,017497711
6/04/1951;293,3697354;0,010908165
7/04/1951;293,468829;0,010219035
8/04/1951;293,3359351;0,009812358
9/04/1951;293,8884295;0,005498316
10/04/1951;294,4860788;0,010084745
11/04/1951;294,4818203;0,009873337
12/04/1951;294,6369971;0,00788197
13/04/1951;294,504024;0,01014499
14/04/1951;294,1931517;0,013600995
15/04/1951;294,2250873;0,011800955
16/04/1951;294,2481993;0,02017312
17/04/1951;293,8709264;0,012578223
18/04/1951;293,9950619;0,013297521
19/04/1951;293,8473907;0,012618609
20/04/1951;293,5058884;0,013309271
21/04/1951;293,4900752;0,007911737
22/04/1951;293,7402029;0,008955463
23/04/1951;293,7490338;0,008351089
24/04/1951;293,8897963;0,014384096
25/04/1951;294,0625039;0,011874315
26/04/1951;294,152419;0,012210548
27/04/1951;294,1090324;0,013798414
28/04/1951;293,7256415;0,015817508
29/04/1951;293,3215207;0,016472928
30/04/1951;293,342704;0,015221301
1/05/1951;293,7219652;0,014070307
2/05/1951;293,6888892;0,018702388
3/05/1951;293,7989748;0,018599881
4/05/1951;293,7417793;0,023564458
5/05/1951;293,9598853;0,03020849
6/05/1951;294,2805797;0,024744271
7/05/1951;294,2743271;0,012990274
8/05/1951;294,8627256;0,009843812
9/05/1951;294,9935956;0,013735052
10/05/1951;294,7277288;0,025154139
11/05/1951;294,3681118;0,017839138
12/05/1951;294,1139416;0,031042029
13/05/1951;293,6188941;0,016842264
14/05/1951;293,4420162;0,021058452
15/05/1951;293,0386741;0,023899828
16/05/1951;293,1150339;0,00762492
17/05/1951;293,1059435;0,014751557
18/05/1951;293,2934384;0,00816146
19/05/1951;294,0462401;0,00856948
20/05/1951;293,9511716;0,012426243
21/05/1951;293,6521819;0,022446841
22/05/1951;293,8224704;0,013395981
23/05/1951;293,9092867;0,016371511
24/05/1951;293,6319507;0,012322819
25/05/1951;293,9900118;0,008862884
26/05/1951;294,0908514;0,009841528
27/05/1951;293,9806577;0,024108049
28/05/1951;293,4276484;0,018384184
29/05/1951;293,4947631;0,012967104
30/05/1951;293,849664;0,012193434
31/05/1951;294,252583;0,015406888
1/06/1951;293,8086031;0,018019651
2/06/1951;293,8811505;0,014094837
3/06/1951;293,7832227;0,012632293
4/06/1951;294,0634629;0,010348788
5/06/1951;293,486614;0,018733879
6/06/1951;293,6916079;0,01524165
7/06/1951;294,1047613;0,008263763
8/06/1951;294,225718;0,015349562
9/06/1951;294,742772;0,005772721
10/06/1951;294,5932816;0,010462511
11/06/1951;294,920318;0,008403065
12/06/1951;295,1102981;0,003989373
13/06/1951;295,3522884;0,005603689
14/06/1951;294,8126913;0,007722458
15/06/1951;294,3659185;0,024654372
16/06/1951;294,2346355;0,017911907
17/06/1951;294,170322;0,020879332
18/06/1951;293,5747557;0,046681882
19/06/1951;293,7772078;0,009963994
20/06/1951;294,1253851;0,006227682
21/06/1951;294,0866364;0,020319396
22/06/1951;294,3589932;0,009882028
23/06/1951;294,2826527;0,013418438
24/06/1951;293,7847672;0,017316262
25/06/1951;293,5429962;0,020503391
26/06/1951;293,8945502;0,009433394
27/06/1951;294,0569907;0,016870567
28/06/1951;294,1993925;0,015865673
29/06/1951;293,6078871;0,017094587
30/06/1951;293,5632065;0,01749133
1/07/1951;293,2927704;0,017849536
2/07/1951;293,3053534;0,012949801
3/07/1951;293,6398772;0,008067145
4/07/1951;293,7288813;0,011640489
5/07/1951;293,5523443;0,011295882
6/07/1951;293,6945567;0,013311624
7/07/1951;293,8986005;0,010248744
8/07/1951;294,0755862;0,007040483
9/07/1951;294,2096634;0,00994942
10/07/1951;294,2705566;0,011918692
11/07/1951;293,7226556;0,010760884
12/07/1951;293,795887;0,008752253
13/07/1951;293,7746097;0,008790806
14/07/1951;293,4363512;0,00948269
15/07/1951;293,7538234;0,010336111
16/07/1951;293,6490194;0,010254755
17/07/1951;293,7871812;0,006575277
18/07/1951;293,9901841;0,009355711
19/07/1951;294,5246532;0,003891316
20/07/1951;295,2714231;0,002988592
