formatted_date;temperature_2m_min; temperature_2m_max
18/02/1951;290,5894271;297,7869542
19/02/1951;291,0123738;297,6303624
20/02/1951;290,6807547;296,9346278
21/02/1951;290,1704791;296,7656151
22/02/1951;290,4538021;296,4294206
23/02/1951;290,6942373;296,09257
24/02/1951;289,9469329;297,7279658
25/02/1951;290,3007571;298,1516835
26/02/1951;291,063509;297,6639536
27/02/1951;290,6929853;298,8301304
28/02/1951;290,87508;298,2326853
1/03/1951;291,4893748;297,1239155
2/03/1951;290,3714137;298,1999044
3/03/1951;291,1555033;298,4170441
4/03/1951;291,6382049;297,2411762
5/03/1951;290,9687848;297,9833572
6/03/1951;291,0940114;297,8976849
7/03/1951;291,3889258;297,4514683
8/03/1951;291,7210818;296,7167617
9/03/1951;291,6878523;295,9246452
10/03/1951;291,201448;298,0729906
11/03/1951;290,978842;296,6264249
12/03/1951;290,7677966;297,1484865
13/03/1951;290,5616815;297,2503908
14/03/1951;290,3532223;298,1369588
15/03/1951;290,3967675;297,8443001
16/03/1951;290,8699393;297,4350463
17/03/1951;290,9951846;299,2915758
18/03/1951;291,702111;300,1541807
19/03/1951;291,142786;299,8023033
20/03/1951;291,5753569;298,6898743
21/03/1951;291,4055349;298,1583232
22/03/1951;291,3670701;297,3554789
23/03/1951;291,0007999;296,669793
24/03/1951;291,1540427;297,497865
25/03/1951;291,0355103;298,2238039
26/03/1951;290,7489042;297,8637534
27/03/1951;290,3823104;297,5443493
28/03/1951;290,2196654;298,7127223
29/03/1951;291,1527568;297,3294481
30/03/1951;290,0188069;298,5858664
31/03/1951;290,7728086;298,2893246
1/04/1951;290,7174141;298,0607078
2/04/1951;291,1512678;298,6782865
3/04/1951;291,5441552;298,2476357
4/04/1951;291,3286258;297,5100557
5/04/1951;290,7639172;296,8983085
6/04/1951;290,5521625;297,6683773
7/04/1951;290,3429574;297,9433651
8/04/1951;290,6247638;297,2149291
9/04/1951;290,342699;298,6526265
10/04/1951;290,9202424;299,1640644
11/04/1951;291,0105324;299,3681766
12/04/1951;291,3376837;299,3825421
13/04/1951;291,1601605;299,1844495
14/04/1951;291,501435;298,5800627
15/04/1951;290,9862299;299,3297036
16/04/1951;291,8016174;298,0394412
17/04/1951;291,5007011;297,5757689
18/04/1951;290,9816743;298,7304702
19/04/1951;290,7873091;298,5028966
20/04/1951;290,9397355;297,6189816
21/04/1951;290,1576149;297,7527722
22/04/1951;290,5236145;298,5470179
23/04/1951;290,4531686;298,4085303
24/04/1951;290,7628737;298,28063
25/04/1951;290,7480524;299,0103527
26/04/1951;291,5160351;298,2220802
27/04/1951;291,2928603;298,5306606
28/04/1951;291,5909628;297,249998
29/04/1951;290,9273321;296,9769046
30/04/1951;290,7627049;297,2998636
1/05/1951;290,9785923;297,8869328
2/05/1951;291,4652068;297,484438
3/05/1951;291,3583816;298,1658649
4/05/1951;291,2852869;297,6424127
5/05/1951;291,6204314;297,8499041
6/05/1951;292,129063;298,1989532
7/05/1951;291,5307286;298,6301627
8/05/1951;291,2303521;300,1461256
9/05/1951;291,651983;299,5500797
10/05/1951;292,1160847;298,9612821
11/05/1951;291,6998224;298,3696723
12/05/1951;291,9940401;297,7448485
13/05/1951;291,239951;296,6632018
14/05/1951;291,4784225;297,0891665
15/05/1951;291,2822713;295,815071
16/05/1951;289,4605915;297,8132681
17/05/1951;290,8575652;296,7184853
18/05/1951;290,0951328;297,7827299
19/05/1951;290,8962761;298,4919686
20/05/1951;291,2205406;298,0615685
21/05/1951;291,5904713;297,2544987
22/05/1951;291,2037327;297,7516366
23/05/1951;291,1036023;298,250565
24/05/1951;290,8890543;297,3401732
25/05/1951;291,2079865;297,88148
26/05/1951;291,5537303;297,5114331
27/05/1951;291,5128049;297,4967865
28/05/1951;291,5051473;296,8445583
29/05/1951;291,3214049;296,9982495
30/05/1951;290,9572351;298,4545367
31/05/1951;291,7373882;298,4364899
1/06/1951;291,602632;297,2684516
2/06/1951;291,008955;298,2849658
3/06/1951;291,2801028;297,6186029
4/06/1951;291,1111;298,40893
5/06/1951;291,340147;296,9027697
6/06/1951;290,7452419;298,2908764
7/06/1951;290,9162688;298,716526
8/06/1951;291,3665286;298,5052538
9/06/1951;291,3967767;299,4599349
10/06/1951;291,3315428;299,141348
11/06/1951;291,4552758;300,0101177
12/06/1951;291,4861991;299,8942126
13/06/1951;291,8062863;299,8119041
14/06/1951;291,4128618;299,1538512
15/06/1951;291,7573298;298,3153156
16/06/1951;291,5271385;298,4383608
17/06/1951;291,5217794;298,2536057
18/06/1951;291,8350344;296,6410295
19/06/1951;290,9467831;298,0823513
20/06/1951;291,3021001;298,3907282
21/06/1951;291,5657862;297,7941261
22/06/1951;291,5111847;298,4550204
23/06/1951;291,6801648;298,3855561
24/06/1951;291,6786165;297,3841764
25/06/1951;291,457913;296,8463545
26/06/1951;290,7927255;298,4301182
27/06/1951;291,538685;298,2723708
28/06/1951;291,5387785;298,5884811
29/06/1951;291,2895445;296,8245246
30/06/1951;291,2603747;297,1925918
1/07/1951;290,9987146;296,9633127
2/07/1951;290,633982;297,2614097
3/07/1951;290,1823167;298,3598029
4/07/1951;290,9177177;297,9179392
5/07/1951;290,5797625;297,7736513
6/07/1951;291,2118358;297,7172562
7/07/1951;290,8931851;298,2768304
8/07/1951;290,8948564;298,8821893
9/07/1951;291,1736141;298,7619501
10/07/1951;290,9379149;299,1351761
11/07/1951;290,1983731;298,0116878
12/07/1951;290,5630845;298,2855843
13/07/1951;290,5609366;298,4491362
14/07/1951;290,0819279;297,9494767
15/07/1951;290,4247108;298,4264321
16/07/1951;290,7738233;297,917719
17/07/1951;290,1701486;298,7674324
18/07/1951;290,4268498;299,053423
19/07/1951;290,5235421;299,9002902
20/07/1951;291,2024322;300,5999978
21/07/1951;291,3497966;300,4639528
22/07/1951;291,5631183;300,3715566
23/07/1951;291,4762206;300,5806593
24/07/1951;291,5553895;300,3736575
25/07/1951;290,9952244;300,8890831
26/07/1951;290,9422796;301,1819191
27/07/1951;291,3968986;300,7062289
28/07/1951;291,325316;300,0344013
29/07/1951;291,3687072;300,9372
30/07/1951;291,9146643;300,5477064
31/07/1951;291,9669663;299,7297197
1/08/1951;291,4636909;299,8999283
2/08/1951;291,8549087;300,4283512
3/08/1951;291,5120184;299,4028574
4/08/1951;291,7195348;299,1742628
5/08/1951;291,4670719;300,9463034
6/08/1951;292,0602436;299,605084
7/08/1951;291,459994;299,7009063
8/08/1951;291,8640933;299,4125643
9/08/1951;291,6613152;299,2689367
10/08/1951;290,9743952;298,6740924
11/08/1951;290,8738021;299,8221874
12/08/1951;291,494137;298,6863334
13/08/1951;291,4441137;297,1916608
14/08/1951;290,8593278;298,4216738
15/08/1951;290,8889346;298,1302613
16/08/1951;291,2990632;299,2099642
17/08/1951;291,4967343;298,4038403
18/08/1951;291,3592888;298,3865014
19/08/1951;291,7682961;297,4070577
20/08/1951;291,5043607;297,1045186
21/08/1951;291,2953299;298,3427903
22/08/1951;290,9624382;298,1000056
23/08/1951;291,2804297;298,5470324
24/08/1951;291,4337807;298,2943683
25/08/1951;291,2837177;298,3773507
26/08/1951;291,1752812;298,2280087
27/08/1951;291,2804493;298,9007251
28/08/1951;291,2590351;299,3155542
29/08/1951;291,4042562;299,6510386
30/08/1951;291,4071166;299,3476946
31/08/1951;291,0831741;298,8855213
1/09/1951;291,5068359;298,5844403
2/09/1951;291,3102748;298,0882912
3/09/1951;291,4767871;297,3515644
4/09/1951;291,446168;297,6962835
5/09/1951;290,7654761;298,2279078
6/09/1951;291,4632893;298,3527919
7/09/1951;291,78485;296,5531566
8/09/1951;291,3680223;297,8211333
9/09/1951;291,2238011;298,2622384
10/09/1951;291,2982466;298,8642824
11/09/1951;291,3465874;299,0147422
12/09/1951;291,2730813;297,4993528
13/09/1951;290,9843241;297,8842116
14/09/1951;291,5469508;297,7129171
15/09/1951;291,0815517;297,2713984
16/09/1951;291,1550615;299,2324951
17/09/1951;291,2229544;298,1216353
18/09/1951;291,4146662;298,8698737
19/09/1951;291,2433812;297,7770073
20/09/1951;291,4204664;298,4024312
21/09/1951;291,4689624;297,1724591
22/09/1951;291,2572402;299,2204135
23/09/1951;291,4622382;298,1340174
24/09/1951;291,5679369;298,1522472
25/09/1951;291,5663078;298,2799526
26/09/1951;291,4038548;298,3072135
27/09/1951;291,2900646;298,1333578
28/09/1951;291,434314;298,150528
29/09/1951;291,8964666;297,3008634
30/09/1951;291,4280916;298,1587177
1/10/1951;291,5063077;297,9884225
2/10/1951;291,1447979;298,234418
3/10/1951;290,9701932;298,777333
4/10/1951;291,676491;298,1744506
5/10/1951;291,6493935;296,6166849
6/10/1951;291,1793619;295,8256836
7/10/1951;290,5925356;298,5773381
